Price,Close,High,Low,Open,Volume
Ticker,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS
Date,,,,,
2018-02-19,1050.7027587890625,1053.488234233547,1041.103081186944,1053.488234233547,1188168
2018-02-20,1040.357177734375,1059.8551451585472,1036.2784190549587,1050.702953739244,835351
2018-02-21,1049.5587158203125,1055.2787881739132,1037.1237759211806,1042.2468740116549,3572028
2018-02-22,1066.9180908203125,1071.8920679336939,1045.1818351218333,1047.0221823667869,5142330
2018-02-23,1075.2244873046875,1077.661808676936,1066.8681824076448,1066.9179707471706,2272854
2018-02-26,1099.3980712890625,1103.8248618854648,1075.3737400436455,1075.3737400436455,1817998
2018-02-27,1087.361083984375,1099.24883960338,1082.4367742400977,1099.24883960338,1034120
2018-02-28,1084.8740234375,1089.4997242658812,1078.9052518551048,1084.3268374684596,886902
2018-03-01,1089.997314453125,1098.0054663148533,1080.3478472642635,1082.436893400152,1480594
2018-03-05,1094.2747802734375,1098.104717717401,1075.1747599553792,1084.3268277254972,2409121
2018-03-06,1076.8162841796875,1100.193977209122,1069.703593874044,1099.2489701074605,2404151
2018-03-07,1079.4525146484375,1091.8874577289766,1067.7140012414031,1076.5675835667541,2965912
2018-03-08,1076.6669921875,1087.4107084709553,1068.7086298582863,1083.0335849028934,1751666
2018-03-09,1076.8162841796875,1086.217174024859,1071.0465434419282,1079.3530611462397,1644991
2018-03-12,1094.871826171875,1099.2489503516758,1077.8608486027517,1081.8400303234819,1255474
2018-03-13,1078.2586669921875,1102.7306074718201,1073.3343573184054,1094.2250589484534,1380164
2018-03-14,1076.1197509765625,1079.402623842874,1064.430906905405,1074.37885930639,1209100
2018-03-15,1079.9996337890625,1086.2667718522773,1073.0360660955016,1079.3529925019493,1368171
2018-03-16,1055.2291259765625,1076.3685263319733,1050.9017906613908,1076.0203722601732,2724910
2018-03-19,1043.54052734375,1060.0541091138573,1039.8100440477165,1059.1587688358086,1880023
2018-03-20,1039.859619140625,1045.9775133434362,1033.1944174909684,1042.4460627417698,987156
2018-03-21,1045.629638671875,1056.423146725377,1040.108595911702,1049.3104552803343,1741161
2018-03-22,1047.5693359375,1053.9857176407909,1042.6450258869654,1045.6294120624466,1765315
2018-03-23,1033.3935546875,1041.3519182309233,1023.0476577940517,1035.4826008306504,1961492
2018-03-26,1033.9404296875,1035.4824109152232,1023.4950794525146,1034.5870708938023,7817249
2018-03-27,1044.385986328125,1052.4935935903231,1037.5716617341275,1037.5716617341275,2148618
2018-03-28,1042.3466796875,1051.4987488900315,1035.1840798709657,1038.616196898155,5927388
2018-04-02,1090.8428955078125,1094.7225002457817,1043.5901161276142,1043.5901161276142,2666027
